test_name, test_tag, trace, container, capacity, duration, threads, throughput, thread_throughput, hit_rate, pull_threshold, purge_threshold
11:40:33, GCP1, traces/DS1.blis, Dummy, 1051635, 20.0057, 1, 6.90303e+07, 6.90303e+07, 0, 0.7, 0.7
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 1051635, 60.2113, 1, 1.56117e+06, 1.56117e+06, 0.0356414, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 1051635, 61.0962, 1, 687441, 687441, 0.0333344, 0, 0
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 1051635, 72.3842, 16, 663140, 41446.3, 0.0439553, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 1051635, 60.3065, 16, 1.09275e+07, 682970, 0.0552549, 0, 0
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 1051635, 68.8111, 32, 504297, 15759.3, 0.0445684, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 1051635, 60.4856, 32, 1.59344e+07, 497949, 0.0611848, 0, 0
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 10516, 60.1114, 1, 4.3253e+06, 4.3253e+06, 0.00974479, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 10516, 60.0611, 1, 3.82943e+06, 3.82943e+06, 0.00968469, 0, 0
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 10516, 73.6505, 16, 669387, 41836.7, 0.0037664, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 10516, 60.6347, 16, 1.48381e+07, 927379, 0.00155751, 0, 0
11:40:33, GCP1, traces/DS1.blis, ConcurrentLRU, 10516, 67.9854, 32, 506009, 15812.8, 0.00318206, 0, 0
11:40:33, GCP1, traces/DS1.blis, Binned_ConcurrentLRU, 10516, 61.5254, 32, 1.76106e+07, 550332, 0.00106933, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 18688, 60.0746, 1, 5.14361e+06, 5.14361e+06, 0.666986, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 18688, 60.0004, 1, 4.9333e+06, 4.9333e+06, 0.666737, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 18688, 70.2111, 16, 911537, 56971, 0.666301, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 18688, 60.408, 16, 2.10833e+07, 1.31771e+06, 0.57384, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 18688, 105.785, 32, 624852, 19526.6, 0.554161, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 18688, 60.9321, 32, 2.7337e+07, 854280, 0.582269, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 4096, 60.083, 1, 5.42582e+06, 5.42582e+06, 0.512742, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 4096, 60.1061, 1, 5.12428e+06, 5.12428e+06, 0.511351, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 4096, 63.6773, 16, 756942, 47308.9, 0.359331, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 4096, 60.2443, 16, 1.64563e+07, 1.02852e+06, 0.363197, 0, 0
11:40:33, GCP1, traces/OLTP.blis, ConcurrentLRU, 4096, 116.57, 32, 567039, 17720, 0.343021, 0, 0
11:40:33, GCP1, traces/OLTP.blis, Binned_ConcurrentLRU, 4096, 60.7051, 32, 2.00774e+07, 627418, 0.331762, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 514683, 60.4704, 1, 1.68678e+06, 1.68678e+06, 0.484557, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 514683, 60.7121, 1, 1.07063e+06, 1.07063e+06, 0.481495, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 514683, 77.4467, 16, 843168, 52698, 0.479722, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 514683, 60.4004, 16, 1.73211e+07, 1.08257e+06, 0.479682, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 514683, 108.615, 32, 614111, 19191, 0.46958, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 514683, 60.7893, 32, 2.15844e+07, 674512, 0.452876, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 5146, 60.1929, 1, 4.48558e+06, 4.48558e+06, 0.033847, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 5146, 60.1684, 1, 4.0719e+06, 4.0719e+06, 0.0339633, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 5146, 74.749, 16, 644838, 40302.4, 0.00937597, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 5146, 61.0115, 16, 1.43612e+07, 897577, 0.00712804, 0, 0
11:40:33, GCP1, traces/P4.blis, ConcurrentLRU, 5146, 67.2108, 32, 498443, 15576.4, 0.00838487, 0, 0
11:40:33, GCP1, traces/P4.blis, Binned_ConcurrentLRU, 5146, 61.7409, 32, 1.75589e+07, 548715, 0.00573099, 0, 0
11:40:33, GCP1, traces/P8.blis, ConcurrentLRU, 97754, 60.2845, 1, 3.1849e+06, 3.1849e+06, 0.505878, 0, 0
11:40:33, GCP1, traces/P8.blis, Binned_ConcurrentLRU, 97754, 60.1571, 1, 2.69295e+06, 2.69295e+06, 0.504751, 0, 0
11:40:33, GCP1, traces/P8.blis, ConcurrentLRU, 97754, 74.0045, 16, 875626, 54726.6, 0.508496, 0, 0
11:40:33, GCP1, traces/P8.blis, Binned_ConcurrentLRU, 97754, 60.2063, 16, 2.24528e+07, 1.4033e+06, 0.466761, 0, 0
